TIMESTAMP_START,NEE,TA_F,SW_IN_F,VPD_F
2011-01-01 00:00:00,-9999.0,-7.166,0.90792,0.334
2011-01-01 00:30:00,-9999.0,-7.006,0.679536,0.336
2011-01-01 01:00:00,-9999.0,-6.8,0.7338240000000001,0.338
2011-01-01 01:30:00,-0.0197979481781368,-6.626,0.516672,0.34
2011-01-01 02:00:00,-9999.0,-6.689,0.516672,0.342
2011-01-01 02:30:00,-9999.0,-6.674,0.653328,0.348
2011-01-01 03:00:00,-9999.0,-6.593,0.557856,0.354
2011-01-01 03:30:00,-9999.0,-6.44,0.475488,0.36
2011-01-01 04:00:00,-9999.0,-6.375,0.408096,0.365
2011-01-01 04:30:00,0.0686424632606824,-6.333,0.447408,0.371
2011-01-01 05:00:00,-9999.0,-6.327,0.555984,0.377
2011-01-01 05:30:00,-0.0037667519419157,-6.297,0.340704,0.383
2011-01-01 06:00:00,0.0426566455275646,-6.262,0.27144,0.389
2011-01-01 06:30:00,-9999.0,-6.256,0.0,0.396
2011-01-01 07:00:00,-9999.0,-6.302,0.0,0.402
2011-01-01 07:30:00,-9999.0,-6.199,0.312624,0.408
2011-01-01 08:00:00,-9999.0,-6.131,0.462384,0.414
2011-01-01 08:30:00,-9999.0,-6.376,0.54288,0.42
2011-01-01 09:00:00,-9999.0,-6.662,0.7338240000000001,0.426
2011-01-01 09:30:00,-9999.0,-7.035,2.291328,0.433
2011-01-01 10:00:00,0.0596869417541643,-7.254,5.827536,0.439
2011-01-01 10:30:00,-9999.0,-7.45,10.25856,0.445
2011-01-01 11:00:00,0.0129489004998177,-7.73,18.330624,0.451
2011-01-01 11:30:00,-0.0193026904449802,-7.938,22.19256,0.449
2011-01-01 12:00:00,0.0282846377749318,-7.903,22.963824,0.448
2011-01-01 12:30:00,0.0256081469818431,-7.809,21.082464,0.446
2011-01-01 13:00:00,-9999.0,-7.777,16.486704000000003,0.444
2011-01-01 13:30:00,-0.00879308476307,-7.833,9.743760000000002,0.443
